nodes,edges,sfAvgDegree,maxDegree,minDegree,sfAvgDistance,randomAvgDegree,randomAvgDistance
4990,9981,4.0004,200,1,4.2404,3.9996,3.9976
4990,9984,4.0016,201,1,6.0092,3.9976,3.9992
4990,9990,4.004,210,1,5.5049,3.9976,3.9992
4990,9983,4.0012,211,1,4.4605,3.9992,3.9992
4990,9986,4.0024,186,1,5.5432,3.9992,3.9988
4990,9995,4.006,176,1,5.8648,3.9988,3.9984
4990,9988,4.0032,217,1,6.4556,3.9972,3.9980
4990,9989,4.0036,245,1,5.2911,3.9984,3.9992
4990,9991,4.0044,256,1,6.283,3.9992,3.9984
4990,9988,4.0032,170,1,5.1192,3.9980,3.9972
4990,9994,4.0056,160,1,4.4427,3.9972,3.9988
4990,9997,4.0068,206,1,6.0085,3.9988,3.9988
4990,9991,4.0044,151,1,5.5685,3.9976,3.9992
4990,9980,4,192,1,6.7234,3.9988,3.9988
4990,9984,4.0016,200,1,5.6491,3.9968,3.9988
4990,9988,4.0032,237,1,5.8013,3.9988,7.1855
4990,9993,4.0052,240,1,5.4015,3.9964,6.4820
4990,9984,4.0016,200,1,4.9371,3.9960,7.0510
4990,9981,4.0004,164,1,5.2163,3.9988,4.9055
4990,9990,4.004,175,1,4.7144,3.9976,5.8283
4990,9985,4.002,233,1,5.1101,3.9980,5.9005
4990,9986,4.0024,180,1,5.8969,3.9980,6.2648
4990,9987,4.0028,180,1,4.845,3.9988,5.4097
4990,9998,4.0072,299,1,5.6111,3.9980,6.9178
4990,9985,4.002,187,1,4.3127,3.9984,5.5906
4990,9986,4.0024,192,1,5.0196,3.9980,6.6181
4990,9988,4.0032,174,1,4.0556,3.9984,6.6994
4990,9992,4.0048,189,1,5.4273,3.9984,5.8385
4990,9993,4.0052,215,1,5.4721,3.9984,7.6257
4990,9986,4.0024,211,1,4.9326,3.9972,5.3121
4990,9986,4.0024,219,1,4.9651,3.9996,5.7131
4990,9994,4.0056,202,1,3.8035,3.9972,5.0032
4990,9988,4.0032,184,1,5.3544,3.9988,6.6749
4990,9992,4.0048,237,1,3.5996,3.9992,4.4505
4990,9991,4.0044,181,1,3.8921,3.9984,7.4170
4990,9992,4.0048,203,1,5.6382,3.9992,7.7036
4990,9990,4.004,221,1,4.8725,3.9968,7.0263
4990,9980,4,220,1,5.513,3.9972,5.4474
4990,9996,4.0064,178,1,5.3476,3.9988,7.3329
4990,9990,4.004,215,1,3.232,3.9972,6.6480
4990,9992,4.0048,215,1,5.6513,3.9992,7.2324
4990,9988,4.0032,233,1,5.1015,3.9988,6.7167
4990,9985,4.002,215,1,4.3696,3.9976,5.5017
4990,9987,4.0028,201,1,5.4352,3.9976,6.4839
4990,9990,4.004,211,1,4.4602,3.9992,6.2883
4990,9985,4.0072,211,1,5.0196,3.9976,6.6036
4990,9986,4.0024,221,1,4.9651,3.9992,4.7012
4990,9990,4.0028,192,1,4.7144,3.9992,5.9991
4990,9984,4.004,299,1,4.9326,3.9992,5.6064
4990,9991,4.0048,233,1,3.8921,3.9988,6.3127
